c,k
connect,"http://192.168.1.57:8080/""connect"":?ot=2&oid=1"
recordswitch,http://192.168.1.57:8080/recordswitch?ot=2&oid=1
alert,http://192.168.1.57:8080/alert?ot=2&oid=1
record,http://192.168.1.57:8080/record?ot=2&oid=1
recordstop,http://192.168.1.57:8080/recordstop?ot=2&oid=1
ping,http://192.168.1.57:8080/ping?ot=2&oid=1
allon,http://192.168.1.57:8080/allon?ot=2&oid=1
alloff,http://192.168.1.57:8080/alloff?ot=2&oid=1
recordondetecton,http://192.168.1.57:8080/recordondetecton?ot=2&oid=1
snapshot,http://192.168.1.57:8080/snapshot?ot=2&oid=1
shutdown,http://192.168.1.57:8080/shutdown?ot=2&oid=1
recordonalerton,http://192.168.1.57:8080/recordonalerton?ot=2&oid=1
recordingoff,http://192.168.1.57:8080/recordingoff?ot=2&oid=1
alerton,http://192.168.1.57:8080/alerton?ot=2&oid=1
alertoff,http://192.168.1.57:8080/alertoff?ot=2&oid=1
allscheduleon,http://192.168.1.57:8080/allscheduleon?ot=2&oid=1
allscheduleoff,http://192.168.1.57:8080/allscheduleoff?ot=2&oid=1
applyschedule,http://192.168.1.57:8080/applyschedule?ot=2&oid=1
bringonline,http://192.168.1.57:8080/bringonline?ot=2&oid=1
takeoffline,http://192.168.1.57:8080/takeoffline?ot=2&oid=1
deleteall,http://192.168.1.57:8080/deleteall?ot=2&oid=1
removeobject,http://192.168.1.57:8080/removeobject?ot=2&oid=1
startlisten,http://192.168.1.57:8080/startlisten?ot=2&oid=1
stoplisten,http://192.168.1.57:8080/stoplisten?ot=2&oid=1
starttalk,http://192.168.1.57:8080/starttalk?ot=2&oid=1
stoptalk,http://192.168.1.57:8080/stoptalk?ot=2&oid=1
setmask,http://192.168.1.57:8080/setmask?oid=1
executecmd,http://192.168.1.57:8080/executecmd?oid=1
deletefile,http://192.168.1.57:8080/deletefile?oid=1
playfile,http://192.168.1.57:8080/playfile?oid=1
uploadyoutube,http://192.168.1.57:8080/uploadyoutube?oid=1
addobject,http://192.168.1.57:8080/addobject?oid=1
synthtocam,http://192.168.1.57:8080/synthtocam?oid=1
changesetting,http://192.168.1.57:8080/changesetting?oid=1
getcontentlist,http://192.168.1.57:8080/getcontentlist?oid=1
getcontentcounts,http://192.168.1.57:8080/getcontentcounts?oid=1
getfloorplanalerts,http://192.168.1.57:8080/getfloorplanalerts?oid=1
getfloorplans,http://192.168.1.57:8080/getfloorplans?oid=1
getgraph,http://192.168.1.57:8080/getgraph?oid=1
graphall,http://192.168.1.57:8080/graphall?oid=1
getgrabs,http://192.168.1.57:8080/getgrabs?oid=1
getptzcommands,http://192.168.1.57:8080/getptzcommands?oid=1
massdeletegrabs,http://192.168.1.57:8080/massdeletegrabs?oid=1
massdelete,http://192.168.1.57:8080/massdelete?oid=1
getobjectlist,http://192.168.1.57:8080/getobjectlist?oid=1
getcontrolpanel,http://192.168.1.57:8080/getcontrolpanel?oid=1
getcmdlist,http://192.168.1.57:8080/getcmdlist?oid=1
previewlist,http://192.168.1.57:8080/previewlist?oid=1
kinect_tilt_up,http://192.168.1.57:8080/kinect_tilt_up?oid=1
kinect_tilt_down,http://192.168.1.57:8080/kinect_tilt_down?oid=1
livefeed,http://192.168.1.57:8080/livefeed?oid=1
togglealertmode,http://192.168.1.57:8080/togglealertmode?oid=1
triggeralarm,http://192.168.1.57:8080/triggeralarm?oid=1
triggerdetect,http://192.168.1.57:8080/triggerdetect?oid=1
triggerplugin,http://192.168.1.57:8080/triggerplugin?oid=1
video.mjpg,http://192.168.1.57:8080/video.mjpg?oid=1
video.mjpg,http://192.168.1.57:8080/video.mjpg?oid=1
setframerate,http://192.168.1.57:8080/setframerate?oid=1
setrecordingframerate,http://192.168.1.57:8080/setrecordingframerate?oid=1
